"common_name","sci_name","code","det_project","det_1_winter","det_2_spring","abundance_mean","SeedDisperser","Insectivore","Pollinator"
"Abert's Towhee","Melozone aberti","ABTO",831,421,410,0.326337719298246,0,1,0
"American Coot","Fulica americana","AMCO",61,35,26,0.0478070175438597,1,0,0
"American Crow","Corvus brachyrhynchos","AMCR",3,0,3,0.00175438596491228,1,0,0
"American Goldfinch","Spinus tristis","AGOL",5,4,0,0.00570175438596492,1,0,0
"American Kestrel","Falco sparverius","AMKE",243,161,82,0.0603070175438596,0,1,0
"American Pipit","Anthus rubescens","AMPI",17,16,0,0.0951754385964911,0,1,0
"American White Pelican","Pelecanus erythrorhynchos","AWPE",4,4,0,0.0228070175438597,0,0,0
"American Wigeon","Mareca americana","AMWI",33,32,0,0.193421052631579,0,0,0
"Anna's Hummingbird","Calypte anna","ANHU",1312,753,559,0.369265350877193,0,0,1
"Ash-throated Flycatcher","Myiarchus cinerascens","ATFL",189,7,182,0.055219298245614,0,1,0
"Bald Eagle","Haliaeetus leucocephalus","BAEA",22,12,10,0.00526315789473684,0,0,0
"Bell's Vireo","Vireo bellii","BEVI",41,0,41,0.0236842105263158,0,1,0
"Belted Kingfisher","Megaceryle alcyon","BEKI",27,19,8,0.00657894736842105,0,0,0
"Bendire's Thrasher","Toxostoma bendirei","BETH",8,2,6,0.00175438596491228,1,1,0
"Bewick's Wren","Thryomanes bewickii","BEWR",59,38,21,0.0169956140350877,0,1,0
"Black Phoebe","Sayornis nigricans","BLPH",123,97,26,0.0336622807017544,0,1,0
"Black Vulture","Coragyps atratus","BLVU",4,2,2,0.00197368421052631,0,0,0
"Black-bellied Whistling-Duck","Dendrocygna autumnalis","BBWD",11,0,11,0.0144736842105263,0,0,0
"Black-chinned Hummingbird","Archilochus alexandri","BCHU",59,0,59,0.0318859649122807,0,0,1
"Black-crowned Night-Heron","Nycticorax nycticorax","BCNH",89,46,43,0.0743421052631579,0,0,0
"Black-headed Grosbeak","Pheucticus melanocephalus","BHGR",2,0,2,0.000877192982456139,1,1,0
"Black-necked Stilt","Himantopus mexicanus","BNST",12,6,6,0.00942982456140351,0,0,0
"Black-tailed Gnatcatcher","Polioptila melanura","BTGN",298,157,141,0.0915570175438596,0,1,0
"Black-throated Gray Warbler","Setophaga nigrescens","BTYW",10,0,9,0.0043859649122807,0,1,0
"Black-throated Sparrow","Amphispiza bilineata","BTSP",356,197,159,0.229934210526316,1,1,0
"Blue-gray Gnatcatcher","Polioptila caerulea","BGGN",11,8,3,0.00328947368421052,0,1,0
"Blue-winged Teal","Spatula discors","BWTE",4,0,3,0.00394736842105264,1,0,0
"Brewer's Blackbird","Euphagus cyanocephalus","BRBL",26,16,10,0.0543859649122807,0,1,0
"Brewer's Sparrow","Spizella breweri","BRSP",160,25,135,0.194298245614035,1,1,0
"Bronzed Cowbird","Molothrus aeneus","BROC",5,0,4,0.00482456140350877,1,1,0
"Brown Pelican","Pelecanus occidentalis","BRPE",2,2,0,0.000877192982456139,0,0,0
"Brown-crested Flycatcher","Myiarchus tyrannulus","BCFL",8,0,8,0.00394736842105263,0,1,0
"Brown-headed Cowbird","Molothrus ater","BHCO",204,6,198,0.14030701754386,1,1,0
"Bullock's Oriole","Icterus bullockii","BUOR",21,0,21,0.0109649122807017,0,1,0
"Burrowing Owl","Athene cunicularia","BUOW",34,9,25,0.0146929824561404,0,0,0
"Cactus Wren","Campylorhynchus brunneicapillus","CACW",554,237,317,0.173081140350877,0,1,0
"Canada Goose","Branta canadensis","CANG",108,66,42,0.201425438596491,0,0,0
"Canyon Towhee","Melozone fusca","CANT",28,13,15,0.00723684210526316,1,0,0
"Canyon Wren","Catherpes mexicanus","CANW",4,4,0,0.00263157894736842,0,1,0
"Cassin's Vireo","Vireo cassinii","CAVI",4,2,2,0.00100877192982456,0,1,0
"Cattle Egret","Bubulcus ibis","CAEG",8,2,6,0.00526315789473684,0,0,0
"Chipping Sparrow","Spizella passerina","CHSP",20,4,16,0.0109649122807018,1,1,0
"Cinnamon Teal","Spatula cyanoptera","CITE",15,5,10,0.0171052631578947,1,0,0
"Cliff Swallow","Petrochelidon pyrrhonota","CLSW",24,0,23,0.132017543859649,0,1,0
"Common Gallinule","Gallinula galeata","COGA",30,12,18,0.018640350877193,1,0,0
"Common Goldeneye","Bucephala clangula","COGO",2,2,0,0.0162280701754386,0,0,0
"Common Merganser","Mergus merganser","COME",9,8,0,0.0144736842105263,0,0,0
"Common Raven","Corvus corax","CORA",451,273,178,0.189144736842105,0,0,0
"Common Yellowthroat","Geothlypis trichas","COYE",113,27,86,0.0373245614035087,0,1,0
"Cooper's Hawk","Accipiter cooperii","COHA",65,50,15,0.0152412280701754,0,0,0
"Costa's Hummingbird","Calypte costae","COHU",185,84,101,0.0481359649122807,0,0,1
"Crissal Thrasher","Toxostoma crissale","CRTH",3,3,0,0.00131578947368421,0,1,0
"Curve-billed Thrasher","Toxostoma curvirostre","CBTH",718,310,408,0.209616228070175,1,1,0
"Dark-eyed Junco","Junco hyemalis","DEJU",22,20,2,0.0212719298245614,1,1,0
"Double-crested Cormorant","Nannopterum auritum","DCCO",181,104,77,0.298245614035088,0,0,0
"Eurasian Collared-Dove","Streptopelia decaocto","EUCD",186,70,116,0.0660087719298245,1,0,0
"European Starling","Sturnus vulgaris","EUST",627,231,396,0.559703947368421,1,0,0
"Ferruginous Hawk","Buteo regalis","FEHA",8,8,0,0.00350877192982456,0,0,0
"Gadwall","Mareca strepera","GADW",17,14,3,0.0173245614035088,1,0,0
"Gambel's Quail","Callipepla gambelii","GAQU",526,100,426,0.367763157894737,1,0,0
"Gila Woodpecker","Melanerpes uropygialis","GIWO",666,305,361,0.199835526315789,1,1,0
"Gilded Flicker","Colaptes chrysoides","GIFL",85,49,36,0.0221491228070175,1,1,0
"Gray Flycatcher","Empidonax wrightii","GRFL",9,0,8,0.00394736842105263,0,1,0
"Great Blue Heron","Ardea herodias","GBHE",249,112,137,0.190570175438597,0,0,0
"Great Egret","Ardea alba","GREG",164,90,74,0.169407894736842,0,0,0
"Great Horned Owl","Bubo virginianus","GHOW",14,7,7,0.00416666666666667,0,0,0
"Great-tailed Grackle","Quiscalus mexicanus","GTGR",1167,483,684,0.908684210526316,0,1,0
"Greater Roadrunner","Geococcyx californianus","GRRO",32,9,23,0.00833333333333333,0,1,0
